

@relation 'DatosUtilizadosAlfredoDGB2-GTM-982'
@attribute MARKS real
@attribute PC-ACTIV real
@attribute PC-ASSIST real
@attribute AGE real
@attribute AVER-INHOUSE real
@attribute AVER-FORUM real
@attribute AVER-MAIL real
@attribute AVER-CLASS real
@data
2.7,65.51724138,100,38.33,10,9,5,0
2.7,65.51724138,100,36.90,10,9,10,0
2.6,65.51724138,80,39.24,9,9,10,0
2.8,65.51724138,100,35.84,9,10,10,0
3,65.51724138,100,37.80,10,10,10,0
3.9,27.5862069,100,41.94,10,9,9,0
2.85,65.51724138,80,29.97,10,9,9,0
10,65.51724138,100,37.20,10,10,10,10
2.75,65.51724138,100,31.86,10,10,5,0
2.85,65.51724138,100,34.66,9,10,10,0
2.5,65.51724138,100,25.92,9,8,9,0
2.95,65.51724138,100,42.45,10,10,10,0
1.5,65.51724138,100,43.81,10,0,0,0
9.4,65.51724138,100,45.57,10,10,10,9
2.85,65.51724138,86.66666667,40.20,9,10,10,0
2.85,65.51724138,100,32.97,9,10,10,0
8.85,65.51724138,100,45.58,10,8,9,10
2.6,65.51724138,86.66666667,40.94,9,10,5,0
8.95,65.51724138,100,38.99,10,8,4,10
2.15,65.51724138,100,52.97,9,4,10,0
2.5,65.51724138,100,40.05,10,9,4,0
2.85,65.51724138,86.66666667,35.91,9,10,10,0
1.35,65.51724138,100,44.81,9,0,0,0
3,65.51724138,100,40.48,10,10,10,0
2.95,65.51724138,100,40.86,10,9,10,0
2.35,65.51724138,93.33333333,32.56,9,10,4,0
1.9,65.51724138,100,46.15,10,8,0,0
2.1,3.448275862,60,31.57,8,5,10,0
2.75,65.51724138,100,35.36,10,9,10,0
2.15,65.51724138,100,56.27,10,10,0,0
9.5,65.51724138,100,39.57,10,9,5,10
9.2,65.51724138,100,41.05,10,10,10,8
2.4,65.51724138,100,30.47,10,10,5,0
2.85,65.51724138,100,42.67,10,10,10,0
0.55,65.51724138,100,51.45,2,5,0,0
2.15,65.51724138,100,37.54,10,5,5,0
2.55,65.51724138,100,25.68,9,10,5,0
3.35,27.5862069,100,27.90,8,6,9,0
2.9,65.51724138,100,31.49,10,10,9,0
2.7,65.51724138,100,46.14,10,9,5,0
2.75,65.51724138,100,32.16,10,8,9,0
9.4,65.51724138,100,36.38,10,9,4,10
1.2,65.51724138,100,37.84,8,0,0,0
2.65,65.51724138,100,29.14,10,10,10,0
2.85,65.51724138,100,35.25,10,9,9,0
3,65.51724138,80,46.51,10,10,10,0
2.95,65.51724138,100,28.86,10,9,10,0
0.6,65.51724138,100,42.37,3,3,0,0
3.05,65.51724138,100,41.39,8,7,5,0
2.2,27.5862069,80,44.74,8,10,0,0
2.9,65.51724138,100,40.09,10,10,9,0
2.8,65.51724138,100,36.27,9,9,10,0
3,65.51724138,100,41.54,10,10,10,0
2.75,65.51724138,100,29.36,9,10,10,0
0.3,65.51724138,100,34.21,2,0,0,0
3,65.51724138,100,24.76,10,10,10,0
2.6,27.5862069,100,47.03,10,9,5,0
8.55,65.51724138,100,44.18,10,8,5,10
2.4,65.51724138,100,43.34,10,10,5,0
9.5,65.51724138,100,51.95,10,9,9,10
3,65.51724138,100,37.84,10,10,10,0
2.75,65.51724138,100,30.03,10,8,9,0
2.15,65.51724138,86.66666667,37.19,9,10,0,0
2.95,65.51724138,100,53.66,10,10,10,0
2.9,65.51724138,100,31.48,10,9,9,0
2.1,65.51724138,100,37.74,9,8,0,0
2.5,27.5862069,100,62.20,9,9,9,0
2.7,65.51724138,100,61.10,10,9,9,0
9.7,65.51724138,100,29.19,10,9,9,10
9.15,65.51724138,100,58.43,9,10,9,9
2.45,65.51724138,100,43.17,7,9,10,0
2.15,24.13793103,100,35.63,8,9,5,0
8.9,65.51724138,100,39.49,10,9,9,10
2.95,65.51724138,100,24.69,10,10,10,0
1.5,65.51724138,100,25.10,10,0,0,0
2.65,65.51724138,100,49.85,8,10,10,0
2.55,65.51724138,100,27.36,8,10,10,0
7.85,65.51724138,100,30.23,9,3,5,8
3,65.51724138,100,40.51,10,10,10,0
0.4,3.448275862,100,30.64,1,5,0,0
2.1,65.51724138,100,45.34,9,10,5,0
0.9,65.51724138,100,35.86,6,0,0,0
2.35,65.51724138,100,41.19,8,10,10,0
2.8,65.51724138,100,29.44,10,9,8,0
2.8,65.51724138,100,53.22,9,10,10,0
3,65.51724138,100,37.36,10,10,10,0
2.55,65.51724138,100,41.19,10,9,7,0
1.15,65.51724138,100,25.83,6,5,0,0
2.85,65.51724138,100,27.96,9,10,10,0
1.35,65.51724138,100,48.36,9,0,0,0
2.65,65.51724138,100,44.81,10,10,10,0
3,65.51724138,100,27.83,10,10,10,0
9.3,65.51724138,100,36.63,9,9,9,10
3,65.51724138,100,40.07,10,10,10,0
2.3,65.51724138,100,46.11,9,8,4,0
2.85,65.51724138,100,38.45,9,10,10,0
1.5,27.5862069,100,45.79,10,0,0,0
2.65,27.5862069,100,28.09,9,8,9,0
1.25,65.51724138,100,31.86,5,5,5,0
0.9,65.51724138,93.33333333,43.52,6,0,0,0
2.95,65.51724138,100,40.68,10,10,9,0
1.5,27.5862069,100,39.61,5,10,5,0
2.2,65.51724138,100,36.46,9,4,4,0
1.75,65.51724138,100,39.70,10,5,0,0
2.75,65.51724138,100,23.83,9,9,9,0
7,65.51724138,100,32.98,6,9,5,8
2.8,65.51724138,100,38.62,9,10,9,0
0.15,65.51724138,53.33333333,35.66,0,0,0,0
2.95,65.51724138,100,39.19,10,9,10,0
2.85,65.51724138,100,49.26,9,10,10,0
0,62.06896552,46.66666667,47.09,0,0,0,0
1.6,65.51724138,100,28.89,8,8,0,0
2.5,65.51724138,100,29.06,9,9,5,0
2.75,65.51724138,100,47.37,10,10,5,0
2.3,65.51724138,80,46.00,10,10,0,0
0,3.448275862,100,24.49,0,0,0,0
0,62.06896552,46.66666667,31.50,0,0,0,0
2.55,27.5862069,100,29.31,9,8,8,0
2.7,65.51724138,53.33333333,43.19,10,8,8,0
2.45,65.51724138,100,43.03,9,8,5,0
1.1,65.51724138,100,27.04,4,10,0,0
0.15,62.06896552,46.66666667,35.37,0,0,0,0
9.1,65.51724138,100,49.76,9,8,10,8
2.05,27.5862069,100,33.75,9,9,5,0
2.6,65.51724138,100,40.89,8,10,9,0
1.2,65.51724138,93.33333333,45.46,8,0,0,0
1.5,65.51724138,100,45.23,10,0,0,0
0.3,65.51724138,100,30.50,2,0,0,0
1.9,65.51724138,100,40.76,9,4,0,0
2.15,65.51724138,100,51.66,10,0,10,0
1.5,3.448275862,86.66666667,38.61,10,0,0,0
1.6,65.51724138,100,53.26,7,4,0,0
1.5,65.51724138,60,29.57,10,0,0,0
3,65.51724138,100,45.33,10,10,10,0
2.65,65.51724138,100,39.69,10,10,10,0
1.5,65.51724138,93.33333333,44.32,10,0,0,0
2.5,65.51724138,100,42.52,9,8,9,0
2.3,65.51724138,100,33.55,10,0,9,0
2.7,65.51724138,93.33333333,42.92,10,10,5,0
2.3,65.51724138,100,31.11,7,8,9,0
2.95,65.51724138,100,47.91,10,10,9,0
2.75,65.51724138,100,48.44,9,10,9,0
2.85,65.51724138,100,33.62,9,10,10,0
1.5,65.51724138,100,50.76,10,0,0,0
2.3,65.51724138,100,38.13,9,4,8,0
0.65,62.06896552,46.66666667,30.02,0,10,0,0
2.85,65.51724138,100,34.36,10,9,9,0
2.7,65.51724138,100,36.61,10,9,9,0
2.2,65.51724138,100,40.68,9,8,4,0
2.4,65.51724138,100,56.03,8,9,7,0
8.75,65.51724138,93.33333333,50.41,10,10,10,9
2.35,65.51724138,100,49.78,10,5,5,0
9.2,65.51724138,100,51.58,10,8,9,9
2.95,65.51724138,100,48.19,10,10,10,0
2.55,65.51724138,100,34.61,9,9,5,0
2.8,65.51724138,100,53.30,10,8,9,0
2.65,65.51724138,100,31.07,10,10,10,0
1.5,65.51724138,100,46.39,10,0,0,0
1.65,65.51724138,100,55.76,10,0,0,0
2.35,65.51724138,100,46.17,9,9,4,0
9.3,65.51724138,100,35.78,10,10,9,10
2.95,65.51724138,100,39.74,10,10,10,0
2.6,65.51724138,100,42.55,10,10,5,0
2.4,65.51724138,100,39.08,10,10,5,0
1.75,65.51724138,100,44.83,10,5,0,0
2.25,65.51724138,100,44.54,10,10,5,0
3,65.51724138,100,36.45,10,10,10,0
2.85,65.51724138,100,35.70,10,8,10,0
3,65.51724138,100,51.64,10,10,10,0
2.4,65.51724138,100,39.49,10,10,5,0
2.4,65.51724138,100,34.00,9,9,9,0
2.8,65.51724138,100,31.06,10,9,9,0
2.3,65.51724138,100,30.34,10,5,5,0
2.2,65.51724138,100,32.00,9,9,5,0
2.95,65.51724138,100,30.04,10,10,10,0
2.6,65.51724138,100,29.77,9,10,5,0
1.35,65.51724138,100,29.37,9,0,0,0
2.75,65.51724138,100,48.61,9,9,10,0
2.3,65.51724138,100,31.51,9,8,4,0
2.9,65.51724138,100,43.00,10,10,10,0
3,65.51724138,100,39.18,10,10,10,0
2.2,65.51724138,80,45.51,9,8,4,0
2.35,65.51724138,100,48.63,9,9,9,0
2.65,65.51724138,100,51.80,10,10,10,0
8.85,65.51724138,100,33.13,10,8,9,10
2.5,65.51724138,100,32.27,10,7,4,0
3,65.51724138,100,26.91,10,10,10,0
2.9,65.51724138,100,32.99,10,9,10,0
2.25,3.448275862,93.33333333,50.36,10,9,0,0
0.9,48.27586207,13.33333333,44.91,0,5,10,0
2.25,65.51724138,100,32.60,9,5,10,0
3,65.51724138,100,34.82,10,10,10,0
2.4,65.51724138,86.66666667,44.11,10,10,5,0
2.9,65.51724138,100,31.39,10,10,10,0
1.6,3.448275862,100,30.61,8,0,5,0
2.75,65.51724138,93.33333333,50.17,10,8,9,0
2.65,65.51724138,100,34.10,10,10,10,0
2.7,27.5862069,93.33333333,36.41,9,10,10,0
1.4,27.5862069,100,48.75,8,4,0,0
1.55,65.51724138,100,45.27,9,4,0,0
1.2,27.5862069,100,40.62,8,0,0,0
0,62.06896552,46.66666667,52.24,0,0,0,0
2.8,65.51724138,100,49.25,10,10,10,0
1.7,65.51724138,100,36.26,8,10,0,0
3,65.51724138,100,41.37,10,10,10,0
1.2,65.51724138,100,51.78,8,0,0,0
8.7,65.51724138,100,38.33,10,9,4,8
2.7,65.51724138,100,49.72,10,8,9,0
0,62.06896552,46.66666667,38.23,0,0,0,0
2.45,65.51724138,40,46.36,9,5,10,0
3,65.51724138,100,43.06,10,10,10,0
2.25,65.51724138,93.33333333,45.01,9,10,5,0
1.55,65.51724138,100,41.26,8,0,0,0
1.9,65.51724138,100,50.62,10,0,5,0
1.5,65.51724138,93.33333333,45.58,9,0,0,0
2.85,65.51724138,100,42.68,9,10,10,0
1.2,65.51724138,100,45.83,8,0,0,0
2.5,65.51724138,86.66666667,43.65,9,10,10,0
2.9,65.51724138,100,36.41,9,0,9,0
0.9,65.51724138,100,36.86,6,0,0,0
2.25,65.51724138,100,41.19,9,10,5,0
2.65,65.51724138,100,28.61,9,10,10,0
1.15,62.06896552,46.66666667,46.30,0,8,9,0
2.6,65.51724138,100,41.83,10,10,5,0
1.5,65.51724138,100,52.01,10,0,0,0
2.05,65.51724138,60,46.83,9,10,4,0
7.2,62.06896552,100,44.81,9,9,4,9
2.6,65.51724138,100,51.17,10,10,5,0
0.55,62.06896552,40,46.94,0,3,5,0
8.75,65.51724138,100,53.50,10,10,4,8
1.35,65.51724138,100,45.49,9,0,0,0
0.5,62.06896552,46.66666667,33.29,0,10,0,0
9.45,65.51724138,100,56.23,10,9,9,10
2.95,65.51724138,93.33333333,35.77,10,10,10,0
2.35,65.51724138,100,37.51,9,0,0,0
2.1,65.51724138,100,36.83,9,8,0,0
9.75,65.51724138,100,26.93,9,10,10,10
1.95,27.5862069,80,44.54,9,8,4,0
1.2,65.51724138,86.66666667,46.76,8,0,0,0
2.75,65.51724138,86.66666667,45.04,9,10,9,0
9.35,65.51724138,100,37.44,10,8,9,10
2.8,65.51724138,86.66666667,40.85,9,10,10,0
1.25,62.06896552,46.66666667,49.06,0,8,9,0
1,62.06896552,46.66666667,29.57,0,4,9,0
2.1,65.51724138,80,31.02,9,4,4,0
1.9,65.51724138,100,30.39,10,5,0,0
2.8,65.51724138,100,48.58,9,10,9,0
0.15,62.06896552,46.66666667,35.99,0,0,0,0
2.7,65.51724138,100,27.14,10,7,8,0
3,65.51724138,73.33333333,39.85,10,10,10,0
2.4,65.51724138,100,24.61,10,10,5,0
1.65,65.51724138,100,46.37,10,0,0,0
2.85,65.51724138,100,39.61,10,8,10,0
2.5,65.51724138,100,50.31,10,10,4,0
3,65.51724138,73.33333333,41.05,10,10,10,0
1.55,65.51724138,100,43.83,9,0,4,0
2.55,65.51724138,100,31.42,10,10,5,0
2.95,65.51724138,100,45.38,10,9,10,0
2.3,65.51724138,100,33.35,10,6,3,0
1.4,62.06896552,40,30.49,0,9,10,0
1.75,65.51724138,100,51.68,10,5,0,0
2.4,65.51724138,100,39.93,10,10,5,0
0.85,3.448275862,86.66666667,39.61,4,5,0,0
0.55,62.06896552,46.66666667,39.24,0,4,0,0
2.65,65.51724138,100,40.15,10,8,5,0
1.85,65.51724138,100,34.71,9,5,5,0
9.8,65.51724138,100,41.30,10,10,10,10
3,65.51724138,100,32.01,10,10,10,0
3,65.51724138,100,40.04,10,10,10,0
2.8,65.51724138,100,33.96,10,10,10,0
2.35,65.51724138,93.33333333,41.44,9,5,9,0
2.9,65.51724138,100,27.17,10,9,10,0
1.35,65.51724138,100,39.38,9,0,0,0
5.3,65.51724138,100,31.68,8,6,0,10
2.35,65.51724138,100,45.80,9,5,5,0
3,65.51724138,100,43.96,10,10,10,0
1.85,65.51724138,100,29.79,10,0,0,0
1.75,65.51724138,100,49.11,10,0,5,0
3,65.51724138,100,37.96,10,10,10,0
2.65,65.51724138,100,39.23,10,10,10,0
1.5,65.51724138,46.66666667,35.97,10,0,0,0
1.5,65.51724138,100,36.85,10,0,0,0
2.7,65.51724138,100,34.17,10,8,8,0
2.7,27.5862069,93.33333333,44.95,10,8,8,0
0.25,62.06896552,46.66666667,48.34,0,5,0,0
3,65.51724138,100,25.73,10,10,10,0
3,65.51724138,100,24.95,10,10,10,0
6.95,65.51724138,100,35.19,9,0,0,9
2.65,65.51724138,100,32.66,10,10,5,0
1.5,65.51724138,80,45.13,10,0,0,0
9.4,65.51724138,100,43.06,10,10,5,10
0,48.27586207,13.33333333,35.32,0,0,0,0
1.7,65.51724138,100,30.59,8,6,4,0
